#X	p2	p3	p4	p5	p6	p7	p1-7
2	232	300	261	143	58	9	1003
3	691	500	281	104	33	5	1614
4	1737	835	308	90	21	2	2993
5	3476	1168	296	47	12	2	5001
6	5150	1407	250	25	2	0	6834
7	6267	1448	211	4	0	0	7930
8	6785	1437	187	2	0	0	8411
9	6289	1126	118	1	0	0	7534
10	4946	721	75	0	0	0	5742
11	3443	369	31	0	0	0	3843
12	2032	156	10	0	0	0	2198
13	1053	53	2	0	0	0	1108
14	509	17	0	0	0	0	526
15	192	9	0	0	0	0	201
16	82	3	0	0	0	0	85
17	27	2	0	0	0	0	29
18	15	0	0	0	0	0	15
19	3	0	0	0	0	0	3
20	2	0	0	0	0	0	2
21	0	0	0	0	0	0	0
22	2	0	0	0	0	0	2
23	1	0	0	0	0	0	1
24	1	0	0	0	0	0	1
25	2	0	0	0	0	0	2
26	0	0	0	0	0	0	0
27	0	0	0	0	0	0	0
28	0	0	0	0	0	0	0
29	0	0	0	0	0	0	0
30	0	0	0	0	0	0	0
