#X	p2	p3	p4	p5	p6	p7
2	325	608	770	580	335	215
3	1229	1530	1196	712	450	161
4	4152	3115	1840	1185	479	110
5	10807	6452	3671	2338	573	76
6	20684	11198	6007	3485	542	32
7	32022	15168	7806	4229	310	16
8	40239	17345	8532	4143	194	6
9	42464	16642	7555	3300	84	6
10	38784	13369	5723	2293	40	0
11	31111	9561	3801	1460	8	0
12	22097	5824	2241	735	4	0
13	14474	3382	1171	416	4	0
14	8974	1754	632	208	0	0
15	5183	892	304	90	0	0
16	3057	480	156	66	0	0
17	1669	198	80	12	0	0
18	890	104	18	6	0	0
19	561	25	6	0	0	0
20	286	11	2	2	0	0
21	129	3	2	0	0	0
22	72	3	0	0	0	0
23	40	0	0	0	0	0
24	27	0	0	0	0	0
25	13	0	0	0	0	0
26	3	0	0	0	0	0
27	3	0	0	0	0	0
28	4	0	0	0	0	0
29	0	0	0	0	0	0
30	0	0	0	0	0	0
