Taille	g1	g2	g3	g4	g5	g6	g7	g8	g9	g10	g11	g12	g13	g14	g15	g16	g17 gMax gTot
2	17	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N 17 17
3	26	114	N	N	N	N	N	N	N	N	N	N	N	N	N	N	N 114 140
4	26	157	423	N	N	N	N	N	N	N	N	N	N	N	N	N	N 423 606
5	31	187	517	933	N	N	N	N	N	N	N	N	N	N	N	N	N 933 1668
6	28	179	591	729	1424	N	N	N	N	N	N	N	N	N	N	N	N 1424 2951
7	22	178	554	648	723	1700	N	N	N	N	N	N	N	N	N	N	N 1700 3825
8	21	167	476	550	393	588	1705	N	N	N	N	N	N	N	N	N	N 1705 3900
9	25	155	413	404	234	204	458	1514	N	N	N	N	N	N	N	N	N 1514 3407
10	20	128	324	278	139	102	87	351	1030	N	N	N	N	N	N	N	N 1030 2459
11	21	107	224	147	75	51	29	48	199	644	N	N	N	N	N	N	N 644 1545
12	21	76	152	61	29	9	12	9	27	105	354	N	N	N	N	N	N 354 855
13	17	65	81	24	7	1	3	2	4	18	54	154	N	N	N	N	N 154 430
14	15	50	46	6	0	0	0	0	0	1	8	21	75	N	N	N	N 75 222
15	13	46	24	3	0	0	0	0	0	0	0	2	11	21	N	N	N 21 120
16	13	27	5	1	0	0	0	0	0	0	0	0	2	3	10	N	N 10 61
17	13	19	1	0	0	0	0	0	0	0	0	0	0	1	1	4	N 4 39
18	4	9	1	0	0	0	0	0	0	0	0	0	0	0	0	1	3 3 15
19	9	6	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0 0 16
20	8	3	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0 0 12
21	8	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 0 8
22	4	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 0 4
23	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 0 2
24	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 0 0
25	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 0 0
26	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 0 0
27	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 0 0
28	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 0 0
29	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 0 0
30	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0 0 0
