Taille	g1	g2	g3	g4	g5	g6	gg
2	137	N	N	N	N	N      137
3	476	212	N	N	N	N      212
4	1360	339	81	N	N	N      81
5	3098	421	64	6	N	N      6
6	5066	434	57	5	0	N      0
7	7211	368	38	4	0	0      0
8	8778	247	17	1	0	0      0
9	9231	170	10	1	0	0      0
10	8739	96	5	0	0	0      0
11	7225	63	1	0	0	0      0
12	5525	31	0	0	0	0      0
13	3958	18	0	0	0	0      0
14	2614	9	0	0	0	0      0
15	1741	5	0	0	0	0      0
16	1034	1	0	0	0	0      0
17	632	0	0	0	0	0      0
18	357	1	0	0	0	0      0
19	234	0	0	0	0	0      0
20	126	0	0	0	0	0      0
