Taille	g1	g2	g3	g4	g5	g6	g7	g8	g9	g10	gMax gTot
2	30	N	N	N	N	N	N	N	N	N      30 30
3	30	92	N	N	N	N	N	N	N	N      92 122
4	26	134	191	N	N	N	N	N	N	N      191 351
5	27	138	208	219	N	N	N	N	N	N      219 592
6	23	134	208	76	138	N	N	N	N	N      138 579
7	25	122	210	58	15	58	N	N	N	N      58 488
8	23	107	161	42	9	1	28	N	N	N      28 371
9	24	95	112	22	3	1	0	10	N	N      10 267
10	21	70	51	18	2	2	0	0	4	N      4 168
11	21	45	23	2	0	0	0	0	0	0      0 91
12	16	34	9	1	0	0	0	0	0	0      0 60
13	13	20	3	0	0	0	0	0	0	0      0 26
14	12	11	1	0	0	0	0	0	0	0      0 24
15	7	7	0	0	0	0	0	0	0	0      0 14
16	5	0	0	0	0	0	0	0	0	0      0 5
17	5	0	0	0	0	0	0	0	0	0      0 5
18	5	0	0	0	0	0	0	0	0	0      0 5
19	2	0	0	0	0	0	0	0	0	0      0 2
20	0	0	0	0	0	0	0	0	0	0      0 0
21	0	0	0	0	0	0	0	0	0	0      0 0
22	0	0	0	0	0	0	0	0	0	0      0 0
23	0	0	0	0	0	0	0	0	0	0      0 0
24	0	0	0	0	0	0	0	0	0	0      0 0
25	0	0	0	0	0	0	0	0	0	0      0 0
