abandonnisme|a.bɑ̃.dɔ̃.nism
abillot|a.jo
ablutiomanie|a.ma.ni
abomber|a.bɔ.mi.be
abottée|a.bo.te
abouteuse|a.bu.tøz
absorptiométrie|ap.sɔʁ.me.tʁi
absorptive|ap.sɔʁ.tiv
absurdisme|ap.dism
absurdiste|ap.dist
acariasis|a.ka.zis
acatalasémie|a.ka.mi
accoupleuse|a.kupl.løz
acoumastique|a.ku.tik
acrodermatite|a.kʁɔ.dɛʁ.ma.tit
acrosomiale|a.kʁɔ.mjal
acrylonitrile|a.kʁi.tʁil
actigramme|ak.ti.ɡʁam
actéon|ak.e.ɔ̃
acylation|a.za.sjɔ̃
acyltransférase|a.ʁaz
acésulfame|a.se.
acétabulaire|a.se.ta.by.lɛʁ
acétanilide|a.se.lid
acétocellulose|a.se.se.ly.lɔz
acétophénone|a.se.nɔn
acétylcellulose|a.se.se.ly.lɔz
acétylcoenzyme|a.se.ko.ɑ̃.zim
addisonienne|a.di.sɔ.njɛn
adelphophagie|a.lɔ.ʒi
adeptat|a.ta
adiabaticité|a.dja.ba.li.te
adique|a.tik
adlérienne|ʁjɛn
adlérisme|ʁism
adustible|a.dy.tibl
adénomectomie|a.de.nom.tɔ.mi
adénosarcome|a.de.saʁ.kom
affileuse|a.fi.løz
affûtoir|a.fy.twaʁ
afrikaander|a.fʁi.de
agamospermie|a.ɡa.tɛʁ.mi
agars-agars|a.ɡaʁ.aʁ
agglutinement|a.ɡlɔ.mɑ̃
agglutinogène|a.ɡlɔ.ʒɛn
agnosique|a.zik
agrarisme|a.ta.ʁism
agrippante|a.ɡʁi.pɑ̃t
agrophysiologie|a.ɡʁɔ.lɔ.ʒi
agropyrum|a.ɡʁɔ.ʁɔm
agroressource|a.ɡʁɔ.ʁə.suʁs
aides-éducateurs|ɛd.
aides-éducatrices|ɛd.
aiguilleteuse|ɛ.ɡɥij.tøz
alcaptonurie|al.ka.ʁi
algale|al.ɡa.ɡal
algonkine|al.ɡɔ̃.kin
algérianisme|al.ʒe.nism
alicot|a.li.ko
alicyclique|a.li.si.klik
aligneuse|a.li.nøz
alismacée|a.li.se
alkylante|al.ki.ɑ̃t
alloc|a.lɔ.blɔk
allométrie|a.lɔ.me.tʁi
allométrique|a.lɔ.me.tʁik
allurée|a.ly.y.ʁe
alternostat|al.tɛʁ.sta
alvéoloplastie|al.ve.plas.ti
ambrienne|ɑ̃.ʁjɛn
amenage|a.mɛn.naʒ
amenokal|a.mɛn.
amidure|a.mi.dyʁ
amination|a.mi.za.sjɔ̃
aminer|a.mi.ne
aminobutyrique|a.mi.by.ti.ʁik
ammoniotélique|a.mɔ.lik
ammoniurie|a.mɔ.ʁi
amorphisme|a.mɔʁ.fism
amorçable|a.mɔʁ.abl
amphibienne|ɑ̃.fi.bi.mi.bjɛn
amphistome|ɑ̃.fi.tɔm
amphotéricine|ɑ̃.fi.ʁi.sin
amplis-syntoniseurs|ɑ̃.pli.
amplis-tuners|ɑ̃.pli.ɛʁ
amylacée|a.mi.se
aménokal|a.me.
anacardiacée|a.na.se
anamorphoseur|a.na.zœʁ
anamostoser|a.na.ze
anaphylactoïde|a.na.id
anatopisme|a.na.tɔ.pism
androconie|ɑ̃.dʁɔ.ni
andrologique|ɑ̃.dʁɔ.lɔ.ʒik
androlâtre|ɑ̃.dʁɔ.ɑtʁ
angiologue|ɑ̃.ʒjɔ.lɔɡ
angiomatose|ɑ̃.ʒjɔ.ma.toz
angoisseuse|ɑ̃.ɡwas.søz
anguleusement|ɑ̃.ɡy.løz.mɑ̃
anhypothétique|a.te.tik
anionique|a.njɔ̃.nik
aniridie|ɑ̃.di
annoncière|a.nɔ̃.sjɛʁ
anomérique|a.nɔ.me.ʁik
anonacée|ɑ̃.se
anorthosite|a.nɔʁ.sit
antennate|ɑ̃.ti.nat
anthoméduse|ɑ̃.tɔ.me.dyz
anthracosilicose|ɑ̃.tʁɔ.si.li.koz
anthropomorphiquement|ɑ̃.tʁɔ.pɔ.mɑ̃
anthropotechnie|ɑ̃.tʁɔ.pɔ.ni
anthropotechnique|ɑ̃.tʁɔ.pɔ.tɛk.nik
antibrouillée|ɑ̃.ti.nu.je
antihermitienne|ɑ̃.ti.ɛʁ.mi.sjen
antiholomorphe|ɑ̃.ti.mɔʁf
antillanisme|ɑ̃.ti.nism
antilocapridé|ɑ̃.ti.de
antimalarique|ɑ̃.ti.ʁik
