acétylcellulose|a.se.til.se.ly.lɔz
caractéristiquement|ka.ʁak.te.ʁis.tik.mɑ̃
collaborationnisme|kɔ.la.bɔ.ʁa.sjɔ.nism
falsificationnisme|fal.si.fi.ka.sjɔ.nism
individualisable|ɛ̃.di.vi.dy.li.zabl
individualisante|ɛ̃.di.vi.dy.li.zɑ̃t
interministérialité|ɛ̃.tɛʁ.mi.bi.li.te
mégalocéphalie|me.ɡa.lo.se.fa.li
oligothérapie|ɔ.li.ɡɔ.te.ʁa.pi
phénoménologiquement|fe.nɔ.me.lɔ.ʒik.mɑ̃
polyvinylbutyral|pɔ.li.vi.nil.by.ti.ʁal
radical-socialiste|ʁa.di.ka.sɔ.sja.list
radicale-socialiste|ʁa.di.kal.sɔ.sja.list
réincarnationniste|ʁe.ɛ̃.kaʁ.na.sjɔ.nist
thyréotoxicose|ti.ʁeɔ.tɔk.si.k.oz
ténébrionidé|te.ne.bʁi.jɔ.ni.de
