abicher|a.ʃe
abillot|a.jo
ablutiomanie|a.bly.ma.ni
abomber|a.bɔ.mi.be
abottée|a.bo.te
abouteuse|a.bu.tøz
abrupto|a.to
absorptiométrie|ap.sɔʁ.me.tʁi
absorptive|ap.sɔʁ.tiv
abstracto|ab.to
absurdisme|ap.dism
absurdiste|ap.dist
absurdo|ap.dɔ
acariasis|a.ka.ʁja.zis
acatalasémie|a.ka.mi
accoupleuse|a.kupl.løz
acoumastique|a.ku.tik
acrosomiale|a.kʁɔ.mjal
acrylonitrile|a.kʁi.tʁil
actigramme|ak.ti.ɡʁam
actéon|ak.e.ɔ̃
acylation|a.za.sjɔ̃
acyltransférase|a.ʁaz
acésulfame|a.se.
acétanilide|a.se.lid
acétocellulose|a.se.se.ly.lɔz
acétophénone|a.se.nɔn
acétylcellulose|a.se.til.se.ly.lɔz
addisonienne|a.di.sɔ.njɛn
adelphophagie|a.lɔ.ʒi
adeptat|a.ta
adiabaticité|a.dja.ba.li.te
adique|a.tik
adlérienne|ʁjɛn
adlérisme|ʁism
adustible|a.dy.tibl
ad|a.
adénomectomie|a.de.nom.tɔ.mi
adénosarcome|a.de.saʁ.kom
affileuse|a.fi.løz
affûtoir|a.fy.twaʁ
afrikaander|a.fʁi.de
agamospermie|a.ɡa.tɛʁ.mi
agars-agars|a.ɡaʁ.ɡa
agnosique|a.zik
agrarisme|a.ta.ʁism
agrippante|a.ɡʁi.pɑ̃t
agropyrum|a.ɡʁɔ.ʁɔm
agroressource|a.ɡʁɔ.ʁə.suʁs
aides-éducateurs|ɛd.tœʁ
aides-éducatrices|ɛd.
aiguilleteuse|ɛ.ɡɥij.tøz
algale|al.ɡa.ɡal
algonkine|al.ɡɔ̃.kin
alicot|a.li.ko
alicyclique|a.li.si.klik
alismacée|a.li.se
allométrie|a.lɔ.me.tʁi
allométrique|a.lɔ.me.tʁik
allurée|a.ly.y.ʁe
alternostat|al.tɛʁ.sta
alvéoloplastie|al.ve.plas.ti
ambrienne|ɑ̃.ʁjɛn
amenage|a.mɛn.naʒ
amenokal|a.mɛn.
amidure|a.mi.dyʁ
amination|a.mi.za.sjɔ̃
aminer|a.mi.ne
ammoniurie|a.mɔ.ʁi
amorphisme|a.mɔʁ.fism
amphibienne|ɑ̃.fi.bi.mi.bjɛn
amphistome|ɑ̃.fi.tɔm
amphotéricine|ɑ̃.fi.ʁi.sin
amplis-syntoniseurs|ɑ̃.pli.zœʁ
amplis-tuners|ɑ̃.pli.ne
aménokal|a.me.
anacardiacée|a.na.se
anamorphoseur|a.na.zœʁ
anatopisme|a.na.tɔ.pism
andrologique|ɑ̃.dʁɔ.lɔ.ʒik
angiologue|ɑ̃.ʒjɔ.lɔɡ
angiomatose|ɑ̃.ʒjɔ.ma.toz
angoisseuse|ɑ̃.ɡwas.søz
anguleusement|ɑ̃.ɡy.løz.mɑ̃
anionique|a.njɔ̃.nik
aniridie|ɑ̃.di
annoncière|a.nɔ̃.sjɛʁ
anomérique|a.nɔ.me.ʁik
antennate|ɑ̃.ti.nat
anthoméduse|ɑ̃.tɔ.me.dyz
anthracosilicose|ɑ̃.tʁɔ.si.li.koz
anthropotechnique|ɑ̃.tʁɔ.pɔ.tɛk.nik
antibrouillée|ɑ̃.ti.nu.je
antihermitienne|ɑ̃.ti.ɛʁ.mi.sjen
antillanisme|ɑ̃.ti.nism
antilocapridé|ɑ̃.ti.ʁi.de
antimalarique|ɑ̃.ti.ʁik
antiplaquettaire|ɑ̃.ti.plak.ʒi.teʁ
antitrypsine|ɑ̃.ti.saɪn
antébrachiale|ɑ̃.te.bʁa.kjal
anéjaculation|za.sjɔ̃
anérection|a.ne.sjɔ̃
aphodius|a.fɔ.djys
apoenzyme|a.pɔ.ɑ̃.zim
apostériorité|a.pɔs.li.te
appuie-livres|a.pɥi.livʁ
aranéomorphe|a.ʁa.mɔʁf
archentéron|aʁʃ.ʁɔ̃
archéozoïque|aʁ.ik
armurée|aʁ.y.ʁe
aromatase|a.ʁɔ.ma.taz
arsenite|aʁ.sə.nit
articlier|aʁ.ti.lje
artinienne|aʁ.ti.njɛn
asclépiadacée|as.se
ascochyta|as.ta
aspergès|asp.ɛ
asphaltène|as.tɛn
assa-fœtida|a.sa.da
assidéenne|a.si.de.ɛn
astralement|as.tʁal.mɑ̃
astéréognosie|as.te.ɡno.zi
atellane|a.lan
athéophobe|a.te.fɔb
athéophobie|a.te.fɔ.bi
atractyligénine|a.tʁa.nin
atrière|a.ʁjɛʁ
atropinique|a.tʁɔ.i.nik
atteloire|a.lwaʁ
attristement|a.mɑ̃
auberon|o.ʁɔ̃
autologue|ɔ.to.lɔɡ
autopsique|o.tɔp.sik
autos-couchettes|o.to.29
autos-patrouilles|o.to.
autoïque|ɔ.to.ik
auxiliariat|o.ta.ʁja
avalancheuse|a.va.lɑ̃ʃ.ʃøz
avipelvien|a.vi.ʁjɛ̃
avirulence|a.vi.ʁy.lɑ̃s
aviveuse|a.vøz
axopode|ak.pɔd
aérenchyme|a.e.ʃim
bacitracine|bak.ʁa.sin
bactériocine|bak.te.ʁjɔ.sin
baddeleyite|bad.lit
bafoueuse|ba.køz
baguazhang|ba.
baguiste|ba.ɡist
baha'ie|ba.ʁi
baha'isme|ba.lism
bailecito|baj.to
baloutchi|ba.tʃi
balter|bal.te
balénoptère|bal.tɛʁ
bancheuse|bɑ̃ʃ.ʃøz
banqueteuse|bɑ̃k.tøz
bardaf|baʁ.
barocline|ba.klin
barogramme|ba.ɡʁam
barotrope|ba.ʁɔ.tʁɔp
barrémienne|ba.mjɛn
baryogenèse|ba.ʒə.nɛz
basochienne|ba.ʃjɛn
batholite|bat.lit
batholithe|bat.lit
battle-dress|ba.stʁɛs
baxter|ba.tɛʁ
baylienne|bajl.ljɛn
bec-de-corbin|bɛk.də.kɔʁ.bɛ̃
becquer|bɛ.ke
bedonnement|bə.dɔ̃.mɑ̃
behaviouriste|be.ʁist
belcanto|bɛl.to
bene|bɛ̃.n
bennage|bɛ̃.naʒ
benzalkonium|bɛ̃.njɔm
benzonitrile|bɛ̃.tʁil
bergsonisme|bɛʁɡ.nism
bessemer|bə.sə.me
beugleuse|bø.ɡløz
beurouette|bœʁ.ʁu.ɛt
bhakti|bu.ti
bharatanatyam|
biangle|bi.ɑ̃ɡl
bibliologique|bi.bli.lɔ.ʒik
bibliologue|bi.bli.lɔɡ
biblio|bi.bli.ljo
bicolorié|bi.tje
bien-vivre|bjɛ̃.vivʁ
bignonia|bi.nja
big|bi
bigèbre|bi.ʒɛbʁ
biholomorphisme|bi.o.mɔʁ.fism
bilatéralement|bi.la.te.ʁal.mɑ̃
bilharziose|bi.oz
biligénie|bi.ʒe.ni
bilirubinémie|bi.mi
billbergia|bil.dʒja
bimodule|bi.mɔ.mo.dyl
binodale|bi.nɔ.dal
biocœnose|bjɔ.noz
biolubrifiant|bjɔ.ly.fjɑ̃
biotrophe|bjɔ.tʁɔf
birationnelle|bi.sjɔ.nɛl
biscottière|bis.tjɛʁ
biseauteuse|bi.zo.tøz
bisimpliciale|sjal
bissexualité|bi.sɛk.li.te
bisulfitique|bi.syl.tik
bivitelline|bi.te.lin
bizuter|bi.zy.te
blaguounette|bla.nɛt
blastopore|blas.pɔʁ
bledarde|blɛd.daʁd
bleuetier|blø.ɛ.tje
blindicide|blɛ̃.sid
bodybuildeuse|bɔ.di.døz
